Givenname,Surname,Streetaddress,City,Zipcode,Country,CountryCode,NationalId,TelephoneCountryCode,Telephone,Birthday,ConsentToContact
Gunnar,Jacobsson,Åkertorget 0,Lidingö,30543,Sverige,SE,19690307-6511,+46,012-268 78 43,1969-03-07,True
Johan,Ekman,Kvarntorget 33,Sandviken,77875,Sverige,SE,19850811-0909,+46,+46 (0)8 581 581 52,1985-08-11,True
Jens,Strand,Kristoffersenhaugen 1B,Elseby,6402,Norge,NO,19621202-0560,+47,92226388,1962-12-02,True
Nils,Johansson,Genstigen 436,Motala,51257,Sverige,SE,19431111-7822,+46,08-501 020 06,1943-11-11,True
Jenny,Petersson,Trädgårdsstigen 13,Malmö,18840,Sverige,SE,19500811-7768,+46,089-39 74 16,1950-08-11,True
Barbro,Sundqvist,Ekgränd 42,Ängelholm,49125,Sverige,SE,19980428-7690,+46,002-127 94 87,1998-04-28,True
Marcus,Söderman,Ekvägen 01,Landskrona,25345,Sverige,SE,19620916-0794,+46,0493-650 15,1962-09-16,True
Sandra,Lindqvist,Backvägen 7,Sandviken,57209,Sverige,SE,19780503-5814,+46,+46 (0)08 51 14 77,1978-05-03,True
Christopher,Wallace,Crystal Rest 74915,Smithtown,06444,Danmark,DK,19741220-9014,+45,001-902-765-4967x158,1974-12-20,True
Tapani,Niemi,Uurtajankuja 03,Ristijärvi,23608,Finland,FI,19670828-3430,+358,+358 55 3546877,1967-08-28,True
Mirja,Peltola,Puroniitynkatu 051,Sulkava,50441,Finland,FI,19410226-036S,+358,005 541 4215,1941-02-26,True
Trine,Birkeland,Christensenbråten 82,Anitaås,3364,Norge,NO,19650121-3015,+47,41537383,1965-01-21,True
Jeanette,Lindh,Gengränd 383,Karlskoga,56779,Sverige,SE,19770413-9717,+46,+46 (0)94 00 57 90,1977-04-13,True
Allan,Svensson,Fabriksgatan 7,Kristianstad,32619,Sverige,SE,19510428-6222,+46,+46 (0)558 059 55,1951-04-28,True
Jørgen,Jacobsen,Tangenkollen 60,Egilvåg,1046,Norge,NO,19740830-0431,+46,90557416,1974-08-30,True
Alice,Östling,Skogsgatan 448,Mölndal,31379,Sverige,SE,19650325-3131,+46,+46 (0)583 092 19,1965-03-25,True
Sigrid,Bøe,Arnesengata 2C,Camillavåg,5792,Norge,NO,19821226-6096,+47,95328277,1982-12-26,True
Svein,Thomassen,Bakkekroken 10A,Juliegrunn,1963,Norge,NO,19511117-9403,+47,94768725,1951-11-17,True
Viktor,Arvidsson,Backtorget 92,Luleå,95407,Sverige,SE,19811221-1438,+46,+46 (0)8 898 598 60,1981-12-21,True
Nora,Österberg,Kyrkgatan 9,Karlskoga,68737,Sverige,SE,19611004-1660,+46,+46 (0)974 262 38,1961-10-04,True
Eric,Archer,Amy Divide 8500,New Elizabeth,03628,Danmark,DK,19700226-8497,+45,903-912-4773x04839,1970-02-26,True
Markus,Næss,Nilsenlyngen 579,Moe,0046,Norge,NO,19870324-7015,+47,72 40 61 43,1987-03-24,True
Vicki,Sanchez,Burton Course 059,Michellemouth,13426,Danmark,DK,19700526-3024,+45,001-356-696-3159x70603,1970-05-26,True
Åsa,Johansson,Furugränd 32,Umeå,45465,Sverige,SE,19491024-9370,+46,+46 (0)34 61 76 60,1949-10-24,True
Ivar,Isaksen,Thomassenholtet 25,Sisselhelle,6893,Norge,NO,19680918-7125,+47,441 59 612,1968-09-18,True
Leo,Olsson,Strandtorget 1,Helsingborg,27285,Sverige,SE,19561226-4962,+46,+46 (0)89 45 55 25,1956-12-26,True
Viljami,Salonen,Gyldéninkuja 8,Rautavaara,54784,Finland,FI,19410829-785L,+358,(+358) 131984537,1941-08-29,True
Anders,Andersson,Kyrkgränd 75,Karlstad,56541,Sverige,SE,19570113-2098,+46,0524-805 21,1957-01-13,True
Mari,Henriksen,Kristensengrenda 00B,Irenebø,2053,Norge,NO,19601114-8395,+47,46281839,1960-11-14,True
Ann,Moen,Hansentunet 3,Strand,9304,Norge,NO,19470719-8773,+47,50202200,1947-07-19,True
Tommy,Rivera,Johnson Avenue 489,East Richard,13558,Danmark,DK,19500828-0127,+45,+1-433-615-2275,1950-08-28,True
Johan,Christensen,Eidelia 34,Jennyby,2586,Norge,NO,19540507-2872,+47,45482026,1954-05-07,True
Markus,Larsen,Storgatan 0,Borlänge,79412,Sverige,SE,19540530-5773,+46,0356-98 27 49,1954-05-30,True
Elisabet,Svensson,Kvarngränd 023,Östersund,28036,Sverige,SE,19431225-4630,+46,052-291 66 40,1943-12-25,True
Elizabeth,Torres,Cathy Ville 6989,Kevinbury,34484,Danmark,DK,20000126-2887,+45,932-571-5406,2000-01-26,True
Joseph,Lindqvist,Nytorget 8,Västerås,21399,Sverige,SE,19970307-0742,+46,08-078 51 27,1997-03-07,True
Austin,Blevins,Antonio Locks 98250,Daviesburgh,63873,Danmark,DK,19650810-9035,+45,001-795-399-1786x896,1965-08-10,True
Emil,Parkkinen,Tuomarinkylänbulevardi 93,Ypäjä,86205,Finland,FI,19460710-450Y,+358,+358507500414,1946-07-10,True
Sten,Söderberg,Fabriksvägen 824,Mölndal,88606,Sverige,SE,19490728-3447,+46,034-64 30 92,1949-07-28,True
Sverre,Tveit,Thorsenkroken 35,Torefjell,3991,Norge,NO,19501025-5891,+47,981 55 280,1950-10-25,True
Robert,Larsen,Sivertsenstubben 75,Johannessen,0932,Norge,NO,19750829-3917,+47,14198813,1975-08-29,True
Bengt,Borg,Kyrkovägen 9,Gävle,67748,Sverige,SE,19820115-0666,+46,08-104 92 04,1982-01-15,True
Linnea,Nilsson,Backgatan 56,Södertälje,20738,Sverige,SE,19750722-3677,+46,005-07 14 59,1975-07-22,True
Olli,Oksanen,Waseniuksen puistobulevardi 37,Kurikka,91108,Finland,FI,19540710-505K,+358,0932034517,1954-07-10,True
Pål,Jacobsen,Bakkenplassen 33,Ruud,2133,Norge,NO,19820318-4833,+47,+47 91 09 05 21,1982-03-18,True
Isak,Samuelsson,Björktorget 165,Varberg,62824,Sverige,SE,19810120-4895,+46,090-608 81 22,1981-01-20,True
Frode,Kristensen,Olsenhavna 8,Camillaodden,0399,Norge,NO,19500716-7168,+47,96312254,1950-07-16,True
Albert,Holmberg,Kyrkostigen 771,Skellefteå,39941,Sverige,SE,19850519-5205,+46,069-83 65 86,1985-05-19,True
Stephanie,Price,Fox Freeway 17133,South Randyland,23666,Danmark,DK,19631120-7328,+45,403-962-2285,1963-11-20,True
Rune,Sæther,Liengata 888,Pålstad,1789,Norge,NO,19740919-9918,+47,33667844,1974-09-19,True
Hilde,Birkeland,Nielsenholtet 7,Kristinfoss,1028,Norge,NO,19700817-8814,+47,41 98 57 35,1970-08-17,True
Ashley,Ramirez,Robert Mount 13985,Port Anthony,54830,Danmark,DK,19500219-4953,+45,805-991-3368x60591,1950-02-19,True
Sofie,Solheim,Johnsengrenda 8,Knudsen,6156,Norge,NO,20000525-9632,+47,40055615,2000-05-25,True
Anu,Nurmi,Adolf Lindforsin bulevardi 1,Värdö,35667,Finland,FI,19411205-687J,+358,(+358) 112785777,1941-12-05,True
Turid,Rasmussen,Tangenroa 4D,Ritavær,1871,Norge,NO,19780629-0278,+47,09355012,1978-06-29,True
Mats,Berglund,Fabrikstorget 89,Alingsås,57225,Sverige,SE,19610920-6870,+46,0831-63 77 11,1961-09-20,True
Linnea,Helgesson,Ekgatan 5,Sandviken,46048,Sverige,SE,19960911-6386,+46,+46 (0)8 192 937 60,1996-09-11,True
Ole,Jensen,Andersenfaret 4,Erlinghelle,7574,Norge,NO,19970509-4612,+47,98549127,1997-05-09,True
Kelly,Hines,Joseph Forks 858,New David,88213,Danmark,DK,19860507-3846,+45,(801)423-7250,1986-05-07,True
Maija,Sallinen,Haravatie 64,Vihti,04648,Finland,FI,19711224-7301,+358,+358 123375031,1971-12-24,True
Göran,Rasmussen,Kvarnstigen 82,Växjö,60011,Sverige,SE,19851012-8416,+46,0853-59 65 65,1985-10-12,True
Robin,Garcia,Carlson Prairie 476,Camposberg,21765,Danmark,DK,19920912-2586,+45,001-990-483-5326,1992-09-12,True
Richard,Svanberg,Industristigen 33,Sundsvall,12089,Sverige,SE,19550711-3780,+46,0922-16 91 68,1955-07-11,True
Grethe,Sæther,Myklebusthagen 300,Hagen,8425,Norge,NO,19740628-6895,+47,982 56 507,1974-06-28,True
Emil,Sørensen,Antonsenkroken 632,Aune,5958,Norge,NO,19680826-3715,+47,46114028,1968-08-26,True
Lars,Wallén,Storgatan 7,Sundsvall,98415,Sverige,SE,19470616-7927,+46,+46 (0)315 408 46,1947-06-16,True
Mika,Hakala,Rukopolku 198,Hailuoto,15903,Finland,FI,19980114-257A,+358,(+358) 478463687,1998-01-14,True
Karin,Arnesen,Andreassenspranget 44B,Olsen,0135,Norge,NO,19570731-3479,+47,983 01 847,1957-07-31,True
Benjamin,Kelly,Brendan Skyway 66688,Mcdanielton,31280,Danmark,DK,19551221-2538,+47,449.891.2910x851,1955-12-21,True
Inger,Madsen,Andresenvollen 1,Gulbrandsen,1019,Norge,NO,19421130-5921,+47,+47 21 68 71 93,1942-11-30,True
Malin,Haug,Næsstunet 5,Grofoss,8868,Norge,NO,19460224-5185,+47,40985072,1946-02-24,True
Chad,Owens,Jeremy Walk 658,South Donna,31040,Danmark,DK,19960103-4566,+45,706-210-2497,1996-01-03,True
Hans,Gunnarsson,Ängsgatan 525,Malmö,61946,Sverige,SE,19791213-1824,+46,08-404 08 69,1979-12-13,True
Anton,Gren,Parkgatan 89,Södertälje,92781,Sverige,SE,20000911-7113,+46,+46 (0)04 96 02 03,2000-09-11,True
Vidar,Nygård,Nguyenvollen 165,Jakobsen,8692,Norge,NO,19610608-5951,+47,900 75 666,1961-06-08,True
Lennart,Isaksson,Järnvägsgatan 1,Linköping,73435,Sverige,SE,19520507-3530,+46,08-010 79 40,1952-05-07,True
Gottfrid,Johansson,Skoltorget 28,Skövde,96727,Sverige,SE,19851019-8288,+46,0876-693 23,1985-10-19,True
Marius,Rasmussen,Thorsenhaugen 7,Turidsjøen,2097,Norge,NO,19770402-8419,+47,06282947,1977-04-02,True
Mats,Lundqvist,Storgränd 03,Borås,73979,Sverige,SE,19620805-5360,+46,0529-50 73 64,1962-08-05,True
Elisabeth,Klasson,Skogsvägen 8,Gävle,16120,Sverige,SE,19470802-3997,+46,+46 (0)886 654 18,1947-08-02,True
Kelly,Cardenas,Hernandez Crest 342,Hannahport,97484,Danmark,DK,19570301-3265,+45,001-751-961-0245x437,1957-03-01,True
Ingeborg,Berg,Nielsenengen 7,Johnsen,0020,Norge,NO,19500227-8570,47,+4739301381,1950-02-27,True
Leila,Eriksson,Ekstigen 272,Göteborg,92372,Sverige,SE,19510120-4032,+46,08-103 43 54,1951-01-20,True
Elisabeth,Arnesen,Nilsengropa 069,Helenevik,3256,Norge,NO,19520404-7764,+47,980 53 470,1952-04-04,True
Alf,Larsson,Backvägen 824,Borås,55955,Sverige,SE,19450812-7099,+46,08-86 12 44,1945-08-12,True
Malin,Svedberg,Idrottsvägen 41,Halmstad,70604,Sverige,SE,19521026-1822,+46,0354-63 43 15,1952-10-26,True
Lennart,Olsson,Nyvägen 3,Gävle,42616,Sverige,SE,19520802-8381,+46,091-730 10 22,1952-08-02,True
Carina,Lundh,Idrottsvägen 8,Uppsala,47096,Sverige,SE,19710521-7551,+46,008-525 90 57,1971-05-21,True
Christer,Johansson,Parkvägen 39,Eskilstuna,95205,Sverige,SE,19420815-6779,+46,065-35 91 34,1942-08-15,True
Martin,Engberg,Parkvägen 56,Halmstad,88803,Sverige,SE,19630215-3199,+46,0133-275 96,1963-02-15,True
Carin,Svensson,Trädgårdsgatan 99,Karlstad,60149,Sverige,SE,19890911-4152,+46,0812-84 53 80,1989-09-11,True
Sigrid,Håkansson,Trädgårdsgränd 7,Kristianstad,52123,Sverige,SE,19800815-0921,+46,08-968 63 23,1980-08-15,True
Henrik,Johansson,Järnvägsvägen 10,Piteå,32902,Sverige,SE,19670301-3007,+46,08-289 74 44,1967-03-01,True
Samuel,Eriksson,Kvarngränd 2,Linköping,63467,Sverige,SE,19870718-8238,+46,0683-86 39 67,1987-07-18,True
Sherry,Knapp,Richardson Points 95846,West Sandrahaven,52642,Danmark,DK,19440903-4997,+45,001-803-577-8277x858,1944-09-03,True
Joakim,Rønning,Knutsenstykket 07,Ellensand,6469,Norge,NO,19710820-4816,+47,94 68 83 02,1971-08-20,True
Crystal,Calhoun,Jonathan Harbor 591,Schmidtport,03033,Danmark,DK,19730811-3011,+45,001-861-819-1427,1973-08-11,True
Bruce,Bennett,Black Extension 4574,North Stevenchester,88986,Danmark,DK,19861101-0117,+45,001-304-646-7083x2359,1986-11-01,True
Britt,Karlsson,Parkstigen 32,Örnsköldsvik,73569,Sverige,SE,19530724-3920,+46,+46 (0)8 783 838 07,1953-07-24,True
Elsa,Carlsson,Ektorget 48,Norrköping,49951,Sverige,SE,19951224-1090,+46,+46 (0)8 107 807 33,1995-12-24,True
Erkki,Rantala,Agronominpolku 3,Maarianhamina,90405,Finland,FI,19860419-159N,+358,+358 836326568,1986-04-19,True
Elsy,Henriksson,Aspgatan 16,Västerås,63993,Sverige,SE,19440704-4400,+46,057-41 46 76,1944-07-04,True
Bo,Werner,Åkergatan 0,Norrköping,16861,Sverige,SE,19690219-2286,+46,08-25 85 96,1969-02-19,True
Susanne,Brolin,Villastigen 2,Lidköping,16817,Sverige,SE,19641010-2325,+46,+46 (0)8 482 786 12,1964-10-10,True
Tomas,Norman,Industrivägen 642,Kalmar,99639,Sverige,SE,19630716-2474,+46,+46 (0)926 011 28,1963-07-16,True
Stian,Bakke,Iversentjernet 3,Annefjord,0353,Norge,NO,19950416-5218,+47,90446386,1995-04-16,True
Lars,Strøm,Pettersenlunden 41,Pedersen,3449,Norge,NO,19661118-6472,+47,10788297,1966-11-18,True
Ulla,Johannesson,Industristigen 4,Sundsvall,38668,Sverige,SE,19590522-8522,+46,+46 (0)8 752 184 45,1959-05-22,True
Elisabeth,Ström,Nyvägen 44,Varberg,59753,Sverige,SE,19880916-4546,+46,08-37 17 42,1988-09-16,True
Kjetil,Pedersen,Eriksenhaugen 37,Christianstrand,7392,Norge,NO,19540717-5809,+45,916 65 143,1954-07-17,True
Kirsten,Jenssen,Solbergholtet 8,Malinby,8114,Norge,NO,19510723-3988,+47,418 46 954,1951-07-23,True
Maria,Koistinen,Birger Kaipiaisen tie 618,Haapajärvi,92167,Finland,FI,19560129-060R,+358,+358 35 6468413,1956-01-29,True
Eva,Karlsson,Trädgårdsstigen 04,Lund,84949,Sverige,SE,19471223-1637,+46,08-067 455 62,1947-12-23,True
Joshua,Martinez,Sarah Square 0880,Melaniefort,02063,Danmark,DK,19981202-2064,+45,001-662-521-2328x7173,1998-12-02,True
Russell,Hardy,Courtney Crossroad 2633,Ryanhaven,10374,Danmark,DK,19640304-9828,+45,343-976-2295x15571,1964-03-04,True
Craig,Hall,Joe Gateway 40609,South Erin,05056,Danmark,DK,19771119-0291,+45,+1-935-261-0909x98712,1977-11-19,True
Inger,Johannessen,Holmhøgda 86C,Pettersen,2277,Norge,NO,19780816-5072,+47,419 60 835,1978-08-16,True
Sara,Birkeland,Aunetjernet 922,Janvåg,3105,Norge,NO,19850822-3369,+47,64113060,1985-08-22,True
Erling,Jakobsen,Christensenstykket 861,Tommyeid,1174,Norge,NO,19710508-6510,+47,69725488,1971-05-08,True
Thor,Ali,Vikbråten 4,Kristiansen,4876,Norge,NO,19650524-8256,+47,50514053,1965-05-24,True
Per,Sæther,Paulsentjernet 1B,Christensen,0268,Norge,NO,19920831-1948,+47,94085535,1992-08-31,True
Sander,Rønning,Simonsenplassen 18,Sisselsand,4558,Norge,NO,19700812-3936,+47,18843295,1970-08-12,True
Majken,Strömberg,Kyrkvägen 103,Landskrona,10710,Sverige,SE,19970713-6200,+46,+46 (0)534 496 45,1997-07-13,True
Derek,Stein,Brown Fields 4465,Ryanport,65288,Danmark,DK,19470628-0094,+45,+1-976-576-2414,1947-06-28,True
Stella,Andersson,Skogsvägen 5,Motala,67267,Sverige,SE,19431004-6127,+46,+46 (0)8 182 974 48,1943-10-04,True
Irene,Hagberg,Furuvägen 2,Karlskoga,40531,Sverige,SE,19431216-7800,+46,054-18 31 17,1943-12-16,True
Marie,Andersson,Ringvägen 86,Nyköping,34748,Sverige,SE,19401029-5951,+46,0350-444 03,1940-10-29,True
Oscar,Nilsson,Backvägen 44,Sandviken,66910,Sverige,SE,19821027-1372,+46,08-780 529 09,1982-10-27,True
Patricia,Owens,Russell Spur 9422,North Audreyborough,27781,Danmark,DK,19570123-0535,+45,725.466.6679x123,1957-01-23,True
Lars,Carlsson,Genstigen 421,Lidköping,32144,Sverige,SE,19710813-8196,+46,08-65 06 43,1971-08-13,True
Mike,Fitzgerald,Wright Landing 69261,West Linda,24443,Danmark,DK,19430418-1852,+45,001-658-892-7684,1943-04-18,True
Amber,Hodge,Sims Extensions 6401,Hannahhaven,26409,Danmark,DK,19410616-5112,+45,565-531-9387,1941-06-16,True
Henry,Johnsson,Furugatan 14,Karlskrona,22138,Sverige,SE,19511208-2641,+46,+46 (0)077 332 68,1951-12-08,True
Lennart,Gunnarsson,Skogsstigen 576,Skellefteå,51178,Sverige,SE,19890929-1414,+46,+46 (0)85 83 32 13,1989-09-29,True
Svante,Månsson,Kvarntorget 8,Piteå,98543,Sverige,SE,19400124-0709,+46,08-870 97 09,1940-01-24,True
Erika,Sandin,Backgatan 98,Stockholm,96597,Sverige,SE,19790823-2703,+46,003-834 04 85,1979-08-23,True
Jussi,Kiuru,Otermanbulevardi 77,Kotka,42394,Finland,FI,19990224-469H,+358,(+358) 861061080,1999-02-24,True
Robert,Andersson,Nygränd 6,Helsingborg,74813,Sverige,SE,19710629-6481,+46,030-47 97 85,1971-06-29,True
Kenth,Larsson,Kvarngatan 947,Trelleborg,97421,Sverige,SE,19831127-1596,+46,+46 (0)775 890 35,1983-11-27,True
Knut,Nguyen,Andreassenroa 1,Elsegrunn,3318,Norge,NO,19820730-2007,+47,438 27 150,1982-07-30,True
Lena,Andersson,Aspvägen 75,Uppsala,44435,Sverige,SE,19951027-2666,46,08-061 925 74,1995-10-27,True
Jacob,Omar,Kvarngatan 057,Gävle,98796,Sverige,SE,19570913-2813,+46,08-14 44 32,1957-09-13,True
Joseph,Jackson,Montgomery Plains 265,Melissafort,11873,Danmark,DK,19771107-3915,+45,001-211-639-5254x82704,1977-11-07,True
Emily,Hansson,Trädgårdsstigen 474,Kalmar,54147,Sverige,SE,19441128-5168,+46,083-05 54 61,1944-11-28,True
Victor,Fisher,Lowe Land 7914,Port Lauren,42425,Danmark,DK,19860510-2974,+45,001-496-756-2716x569,1986-05-10,True
Sonya,Wilson,Fischer Vista 74626,Hannaburgh,79339,Danmark,DK,19520307-2680,+45,(460)773-3525x196,1952-03-07,True
Niclas,Hansson,Grangränd 38,Ängelholm,86357,Sverige,SE,19430104-2257,+46,08-811 329 35,1943-01-04,True
Benjamin,Rehn,Stationsvägen 834,Uppsala,29771,Sverige,SE,19680602-2583,+46,08-35 48 44,1968-06-02,True
Gunnar,Lind,Kvarngatan 48,Norrköping,11199,Sverige,SE,19920519-5844,+46,08-90 89 67,1992-05-19,True
Kerry,Weaver,James Dale 44037,Greenchester,41984,Danmark,DK,19820112-5270,+45,(673)608-1930x9042,1982-01-12,True
Sven,Larsson,Villagatan 807,Alingsås,78552,Sverige,SE,19921122-9504,+46,099-945 81 40,1992-11-22,True
Carin,Friberg,Industrivägen 78,Göteborg,92988,Sverige,SE,19591113-8379,+46,0269-92 90 17,1959-11-13,True
Penny,Rhodes,Rios Camp 01953,South Kathleen,78220,Danmark,DK,19990214-2990,+45,919.942.6250,1999-02-14,True
Christian,Acosta,Foster Ways 8686,Haleburgh,25113,Danmark,DK,19970211-5941,+45,+1-938-397-2976x8681,1997-02-11,True
Allan,Pettersson,Backstigen 76,Kalmar,85546,Sverige,SE,19971026-4744,+46,069-796 10 72,1997-10-26,True
Hannu,Autio,Ieskuja 74,Ähtäri,03555,Finland,FI,19820812-525C,+358,+358 91 9110382,1982-08-12,True
Stefan,Lindén,Ekgatan 5,Kristianstad,67805,Sverige,SE,19661229-2651,+46,0399-86 88 18,1966-12-29,True
Jason,Valencia,Michael Square 1943,Mosesberg,50941,Danmark,DK,19880624-0559,+45,6195547828,1988-06-24,True
Beata,Sköld,Skoltorget 456,Borlänge,26385,Sverige,SE,19630210-5649,+46,0545-028 84,1963-02-10,True
Harri,Nyman,Tuulilasinkatu 0,Loviisa,99625,Finland,FI,19490430-755T,+358,0520815414,1949-04-30,True
Thea,Lund,Strømhøgda 2,Jørgenhavn,9642,Norge,NO,19730418-5542,+47,99567802,1973-04-18,True
Tapio,Luoma,Salakkatie 84,Paimio,35836,Finland,FI,19400112-3629,+358,+358 21 2912701,1940-01-12,True
Diana,Larsson,Gengatan 66,Borås,63839,Sverige,SE,19910128-3318,+46,08-37 64 68,1991-01-28,True
Daniel,Abdullah,Skoltorget 7,Malmö,42004,Sverige,SE,19420906-4409,+46,08-474 350 25,1942-09-06,True
Manfred,Jansson,Industrivägen 9,Lidingö,90306,Sverige,SE,19430714-6201,+46,090-950 02 09,1943-07-14,True
Marcus,Åberg,Nygatan 62,Falun,23183,Sverige,SE,19760619-3963,+46,014-84 02 26,1976-06-19,True
Maria,Asp,Ektorget 834,Piteå,76918,Sverige,SE,19980907-8883,+46,+46 (0)979 656 04,1998-09-07,True
Susanne,Li,Industrivägen 78,Helsingborg,58551,Sverige,SE,19540117-8156,+46,032-171 34 73,1954-01-17,True
Therese,Nilsson,Ringgränd 28,Karlskrona,96219,Sverige,SE,19550702-5541,+46,08-429 570 90,1955-07-02,True
Jessica,Hardy,Amber Mills 035,South Charles,26156,Danmark,DK,19661218-2399,+45,(840)678-2818,1966-12-18,True
Liam,Lindén,Parkvägen 30,Sundsvall,93198,Sverige,SE,19510423-7940,+46,08-02 11 45,1951-04-23,True
Elisabeth,Martinsson,Åkerstigen 135,Örnsköldsvik,45720,Sverige,SE,19430725-6382,+46,+46 (0)959 669 08,1943-07-25,True
Emma,Olsen,Mathisenalléen 1,Egilhamn,5045,Norge,NO,19461114-1148,+47,85952955,1946-11-14,True
Linnéa,Ekstrand,Strandgatan 666,Trelleborg,54810,Sverige,SE,19901215-1487,+46,0470-206 08,1990-12-15,True
Jonas,Johansson,Ringstigen 02,Borås,77898,Sverige,SE,19550719-2680,+46,08-15 73 49,1955-07-19,True
Russell,Coleman,Johnson Rest 808,North Jennifer,48478,Danmark,DK,19580316-9861,45,553.437.4795,1958-03-16,True
Josefina,Larsson,Parkgränd 38,Kalmar,38725,Sverige,SE,19631006-7613,+46,+46 (0)156 501 90,1963-10-06,True
Dag,Lie,Danielsenalléen 8,Kristiansen,4520,Norge,NO,19611227-4195,+47,+4737394974,1961-12-27,True
Einar,Martinsen,Haugelyngen 53B,Kristiansen,2075,Norge,NO,19610804-8171,+47,63411123,1961-08-04,True
Håkon,Ahmed,Aasplassen 19,Lindaberg,6391,Norge,NO,19941030-0378,+47,84 66 85 28,1994-10-30,True
Gunn,Mathisen,Hagenalléen 2,Tveit,2879,Norge,NO,19550626-0050,+47,44 16 79 90,1955-06-26,True
Marie,Öberg,Genvägen 171,Jönköping,16620,Sverige,SE,20001129-9765,+46,0457-82 23 38,2000-11-29,True
Svein,Thomassen,Thomassenstien 55,Thomassen,7020,Norge,NO,19800115-4355,+47,92030724,1980-01-15,True
Nora,Madsen,Fredriksenmarka 9F,Kristindal,9920,Norge,NO,19800810-4240,47,940 35 480,1980-08-10,True
Elisa,Andersson,Aspgatan 7,Mölndal,31255,Sverige,SE,19870704-8277,+46,08-862 358 08,1987-07-04,True
Eva,Johansson,Nyvägen 79,Karlskrona,62059,Sverige,SE,19780529-8491,+46,0501-50 88 78,1978-05-29,True
Martine,Thomassen,Eiderøa 60C,Ahmed,3160,Danmark,NO,19510402-0747,+47,81086493,1951-04-02,True
Mikael,Svensson,Ringgränd 8,Uppsala,23246,Sverige,SE,19510804-0149,+46,079-807 01 07,1951-08-04,True
Ryan,Daniel,Golden Road 9483,Richardport,92361,Danmark,DK,19500919-2562,+45,(220)944-0138x57208,1950-09-19,True
Torbjørn,Lie,Mathisentoppen 5,Alexandervåg,2655,Norge,NO,19500629-4817,+47,411 03 940,1950-06-29,True
Patric,Frisk,Furuvägen 4,Mölndal,93613,Sverige,SE,19530406-6666,+46,025-712 94 51,1953-04-06,True
Terri,Cook,Barajas Light 4474,Hernandezton,05428,Danmark,DK,19471102-0790,+45,676-417-6024x22586,1947-11-02,True
Christer,Hammar,Järnvägsstigen 0,Karlskoga,19585,Sverige,SE,19541227-3803,+46,+46 (0)93 49 88 67,1954-12-27,True
Wilma,Svensson,Parkvägen 6,Umeå,30357,Sverige,SE,19710526-6521,+46,062-790 10 95,1971-05-26,True
Øystein,Lunde,Jakobsenengen 2,Sofieøy,3368,Norge,NO,19860202-1955,+47,43220677,1986-02-02,True
Robert,Mohamed,Trädgårdsgatan 108,Örnsköldsvik,15987,Sverige,SE,19980414-4933,+46,+46 (0)8 186 966 54,1998-04-14,True
Amber,Ritter,Alexis Centers 092,Amberville,91225,Danmark,DK,19510209-2377,+45,+1-498-311-7757x6266,1951-02-09,False
Olle,Svensson,Järnvägsgatan 2,Karlskrona,37667,Sverige,SE,19850806-2030,+46,+46 (0)483 950 83,1985-08-06,True
Patrick,Larsson,Furugatan 8,Sundsvall,72739,Sverige,SE,19480918-9166,+46,0239-67 29 97,1948-09-18,True
Matti,Lundström,Industritorget 2,Malmö,30151,Sverige,SE,19770512-7436,+46,026-055 22 12,1977-05-12,True
Sigrid,Halvorsen,Sørensensvingen 62E,Thorgrunn,4574,Norge,NO,19790330-0637,+47,92873627,1979-03-30,True
Göran,Olofsson,Industristigen 62,Lidingö,45870,Sverige,SE,19510430-1781,+46,0062-482 91,1951-04-30,True
Erik,Rydén,Björktorget 36,Lidingö,74515,Sverige,SE,19740128-9508,+46,084-078 70 28,1974-01-28,True
Elisabeth,Fredriksen,Myklebustlia 3,Thomassund,2032,Norge,NO,20000215-3684,+47,54 82 60 30,2000-02-15,True
Stian,Hauge,Lundesvingen 4,Andreasund,3934,Norge,NO,19450715-8641,+47,49996315,1945-07-15,True
Tommy,Jensen,Haugegata 6,Rasmussen,3625,Norge,NO,19790110-6745,+47,97 83 74 12,1979-01-10,False
Rebekah,Valencia,Garcia Greens 568,North Shane,73556,Danmark,DK,19660721-4482,+45,5026807436,1966-07-21,True
Olof,Lindberg,Järnvägsstigen 2,Alingsås,33656,Sverige,SE,19551104-2687,+46,0889-118 56,1955-11-04,True
Lars,Olsson,Industristigen 38,Skövde,81294,Sverige,SE,19991120-5514,+46,+46 (0)8 096 687 95,1999-11-20,True
Jon,Bøe,Larsenlunden 3,Andreassen,3272,Norge,NO,19820706-3686,+47,81590413,1982-07-06,True
Ethel,Friberg,Villastigen 07,Örebro,50059,Sverige,SE,19510814-5838,+46,+46 (0)47 97 77 45,1951-08-14,True
Charles,Allen,Megan Forks 503,New Stevenfort,19373,Danmark,DK,19970816-5039,+45,731.240.7047x406,1997-08-16,True
Elisabet,Karlsson,Strandtorget 2,Skövde,16925,Sverige,SE,19821106-1544,+46,08-198 832 46,1982-11-06,True
Rolf,Evensen,Hansseneggen 99C,Kristoffersen,4531,Norge,NO,19461101-3255,+47,76 50 65 71,1946-11-01,True
Nora,Halvorsen,Lundemarka 5,Henrikfjord,1411,Norge,NO,19781230-2882,+47,71 64 98 60,1978-12-30,True
Barbro,Kristensson,Kyrkstigen 439,Norrköping,79813,Sverige,SE,19950320-9141,+46,+46 (0)607 035 34,1995-03-20,False
Randi,Fredriksen,Sæthergrenda 1,Wenchefjell,6976,Norge,NO,19771230-4515,+47,91758718,1977-12-30,True
